"Index","AMAZ.Open","AMAZ.High","AMAZ.Low","AMAZ.Close","AMAZ.Volume"
2007-11-21,12,12,12,12,25
2007-11-23,12,12,12,12,11
2007-11-26,NA,NA,NA,12,0
2007-11-27,11.6,11.6,10.8,10.8,1155
2007-11-28,NA,NA,NA,10.8,0
2007-11-29,10.8,11.6,10.6,10.6,775
2007-11-30,NA,NA,NA,10.6,0
2007-12-03,11.6,11.6,10.8,10.8,715
2007-12-04,NA,NA,NA,10.8,0
2007-12-05,11.2,11.2,11.2,11.2,1000
2007-12-06,NA,NA,NA,11.2,0
2007-12-07,10.8,11.6,10.8,11.6,325
2007-12-10,10.8,11.2,10.8,10.8,1525
2007-12-11,NA,NA,NA,10.8,0
2007-12-12,10.4,10.8,10.4,10.4,312
2007-12-13,NA,NA,NA,10.4,0
2007-12-14,10,10.4,10,10,678
2007-12-17,11.2,11.2,11.2,11.2,150
2007-12-18,11.2,11.2,11.2,11.2,150
2007-12-19,10,10,10,10,375
2007-12-20,11.6,11.6,11.6,11.6,25
2007-12-21,NA,NA,NA,11.6,0
2007-12-24,NA,NA,NA,11.6,0
2007-12-26,8,9.6,8,9.6,62
2007-12-27,11.2,11.2,11.2,11.2,295
2007-12-28,9.6,9.6,9.6,9.6,25
2007-12-31,9.6,9.6,9.6,9.6,188
2008-01-02,NA,NA,NA,9.6,0
2008-01-03,11.2,11.2,11.2,11.2,125
2008-01-04,11.2,11.2,11.2,11.2,188
2008-01-07,NA,NA,NA,11.2,0
2008-01-08,8.4,11.6,8.4,10,280
2008-01-09,9.4,11.6,9.4,11.2,308
2008-01-10,NA,NA,NA,11.2,0
2008-01-11,11.6,11.6,11.6,11.6,500
2008-01-14,11.2,11.2,8.4,9.6,1820
2008-01-15,11.2,11.2,10,10.8,502
2008-01-16,10.8,10.8,8.8,8.8,495
2008-01-17,NA,NA,NA,8.8,0
2008-01-18,NA,NA,NA,8.8,0
2008-01-22,8.8,8.8,7.2,7.2,1650
2008-01-23,8.8,9.2,8.8,9.2,459
2008-01-24,8.8,8.8,8.8,8.8,18
2008-01-25,8.8,8.8,8,8,1125
2008-01-28,7.2,8.8,7.2,8.8,86
2008-01-29,8.8,8.8,8.8,8.8,12
2008-01-30,8.8,8.8,8,8,800
2008-01-31,8.8,8.8,8.8,8.8,250
2008-02-01,7.6,7.6,7.6,7.6,5
2008-02-04,8.8,8.8,7.6,8.4,998
2008-02-05,NA,NA,NA,8.4,0
2008-02-06,8,8,8,8,225
2008-02-07,7.2,7.2,6.8,6.8,1358
2008-02-08,6.8,6.8,6.8,6.8,250
2008-02-11,7.2,7.2,7.2,7.2,169
2008-02-12,8,8,8,8,16
2008-02-13,8,8,6.8,6.8,3356
2008-02-14,6.8,6.8,6.6,6.6,1100
2008-02-15,6.8,6.8,6.8,6.8,50
2008-02-19,NA,NA,NA,6.8,0
2008-02-20,6.4,6.4,5.8,6,1650
2008-02-21,NA,NA,NA,6,0
2008-02-22,5.6,5.6,5.6,5.6,272
2008-02-25,6.8,6.8,6.8,6.8,62
2008-02-26,6.8,6.8,6.8,6.8,150
2008-02-27,6.8,6.8,6.8,6.8,103
2008-02-28,6.8,6.8,6.8,6.8,60
2008-02-29,7.2,10,7.2,8.8,10713
2008-03-03,10,10,9.2,9.2,1814
2008-03-04,9.2,9.6,8.8,9.6,262
2008-03-05,9.6,9.6,8,9.2,20032
2008-03-06,9.6,9.6,9.2,9.6,950
2008-03-07,8.4,8.4,8.4,8.4,165
2008-03-10,8.4,8.4,8.4,8.4,585
2008-03-11,7.82,8.8,7.82,7.82,255
2008-03-12,8.2,8.2,8,8.2,1340
2008-03-13,7.82,8,7.6,7.6,1565
2008-03-14,7.6,7.6,4.8,7.6,811
2008-03-17,7.6,7.6,7.6,7.6,310
2008-03-18,NA,NA,NA,7.6,0
2008-03-19,6,6.8,6,6.8,505
2008-03-20,5.6,7.6,5.6,7.6,526
2008-03-24,7.6,7.6,7.6,7.6,62
2008-03-25,NA,NA,NA,7.6,0
2008-03-26,6,7.6,6,7.6,200
2008-03-27,NA,NA,NA,7.6,0
2008-03-28,6.4,6.4,6,6,1775
2008-03-31,6,7.2,6,7.2,455
2008-04-01,6,6,6,6,150
2008-04-02,6,6,5.6,6,965
2008-04-03,6,6.4,6,6,396
2008-04-04,6,6,5,5,3502
2008-04-07,7.6,7.6,4.6,4.8,1654
2008-04-08,5.2,5.2,4.6,4.6,430
2008-04-09,5.2,5.2,4.6,4.6,1337
2008-04-10,4.8,4.8,4.6,4.6,150
2008-04-11,NA,NA,NA,4.6,0
2008-04-14,4.6,4.6,4.6,4.6,1225
2008-04-15,4.8,4.8,4.8,4.8,854
2008-04-16,4.8,5.2,4.6,4.6,1432
2008-04-17,4.8,4.8,4.4,4.4,2201
2008-04-18,NA,NA,NA,4.4,0
2008-04-21,5.2,5.2,5.2,5.2,1500
2008-04-22,4.4,4.4,4.4,4.4,275
2008-04-23,4,4,4,4,625
2008-04-24,4.4,4.4,4,4,1522
2008-04-25,4.4,4.4,4.4,4.4,300
2008-04-28,4,4,3.8,3.8,775
2008-04-29,3.8,3.8,3.8,3.8,937
2008-04-30,NA,NA,NA,3.8,0
2008-05-01,3.4,3.6,3.2,3.2,1530
2008-05-02,3,3,3,3,25
2008-05-05,3.2,3.2,3,3.2,1375
2008-05-06,3.4,3.6,3.4,3.6,1678
2008-05-07,3.6,3.6,3.6,3.6,1500
2008-05-08,3.64,3.64,3.6,3.6,1769
2008-05-09,3.4,3.4,3.08,3.08,500
2008-05-12,3.6,4.4,3.6,4,1650
2008-05-13,4,5.8,4,5.8,375
2008-05-14,6,6,4.4,4.8,1792
2008-05-15,4.8,4.8,4,4.8,2238
2008-05-16,5.2,5.2,5.2,5.2,55
2008-05-19,5.2,5.2,5.2,5.2,250
2008-05-20,4.4,4.4,4.2,4.2,375
2008-05-21,4.2,4.6,4,4.6,1975
2008-05-22,4.8,4.8,4.8,4.8,138
2008-05-23,4.8,4.8,4.8,4.8,875
2008-05-27,4,4.04,4,4.04,2750
2008-05-28,4,4.2,4,4.2,112
2008-05-29,4,4,4,4,738
